,Año: 1979 - neg,Año: 1979 - pos,Año: 1980 - neg,Año: 1980 - pos,Año: 1981 - neg,Año: 1981 - pos,Año: 1982 - neg,Año: 1982 - pos,Año: 1983 - neg,Año: 1983 - pos,Año: 1984 - neg,Año: 1984 - pos,Año: 1985 - neg,Año: 1985 - pos,Año: 1986 - neg,Año: 1986 - pos,Año: 1987 - neg,Año: 1987 - pos,Año: 1988 - neg,Año: 1988 - pos,Año: 1989 - neg,Año: 1989 - pos,Año: 1990 - neg,Año: 1990 - pos,Año: 1991 - neg,Año: 1991 - pos,Año: 1992 - neg,Año: 1992 - pos,Año: 1993 - neg,Año: 1993 - pos,Año: 1994 - neg,Año: 1994 - pos,Año: 1995 - neg,Año: 1995 - pos,Año: 1996 - neg,Año: 1996 - pos,Año: 1997 - neg,Año: 1997 - pos,Año: 1998 - neg,Año: 1998 - pos,Año: 1999 - neg,Año: 1999 - pos,Año: 2000 - neg,Año: 2000 - pos,Año: 2001 - neg,Año: 2001 - pos,Año: 2002 - neg,Año: 2002 - pos,Año: 2003 - neg,Año: 2003 - pos,Año: 2004 - neg,Año: 2004 - pos,Año: 2005 - neg,Año: 2005 - pos,Año: 2006 - neg,Año: 2006 - pos,Año: 2007 - neg,Año: 2007 - pos,Año: 2008 - neg,Año: 2008 - pos,Año: 2009 - neg,Año: 2009 - pos,Año: 2010 - neg,Año: 2010 - pos,Año: 2011 - neg,Año: 2011 - pos,Año: 2012 - neg,Año: 2012 - pos,Año: 2013 - neg,Año: 2013 - pos,Año: 2014 - neg,Año: 2014 - pos,Año: 2015 - neg,Año: 2015 - pos,Año: 2016 - neg,Año: 2016 - pos,Año: 2017 - neg,Año: 2017 - pos,Año: 2018 - neg,Año: 2018 - pos,Año: 2019 - neg,Año: 2019 - pos
10,permi tira,reforma sanitaria,permiso maternidad,ejerc propia,hace referencia,texto congreso,30 ciento,senador unzueta,pasamo seguidament,argumento expuesto,ministerio sanidad,central sindic,letra apartado,presentar dictamen,medi camento,cia senador,plane pension,mo mento,llone peseta,junio 1988,au mentando,marzo 1989,correspondient mienda,trabajo seguridad,pasamo defensa,industria comercio,portavoz senador,comercio turismo,pre sident,forman part,haber sido,transaccio nal,presenta proyecto,tribun constitu,35 ciento,tie nen,ofici cort,senador alierta,toda clase,25 ciento,po nencia,vi vienda,responsabi lidad,ar gumento,propia comunidad,administracion local,co rrespond,aurrekoetxea entesa,rio senador,cabe duda,buena voluntad,do campo,senador albistur,portavo ce,deci sion,servi cio,pre gunta,siglo xxi,sector inmobiliario,tiem po,semana pasada,acuerdo alcanzado,ciento mile,da respuesta,permiso pre,ejerc presion,agradezco tono,cree nadi,quintero castañeda,derecho fundamental,comunidad foral,forma directa,originaria manifestar,hecho esfuerzo,poder judici,senador cleri,dicho anteriorment,organizacion sindical,ponencia permanent,organizacion profesional,nivel nacion,precio abusivo
11,permiso circulacion,asunto exterior,permiso paternidad,ejerc recho,recuerdo mal,caja ahorro,refier mienda,comp tencia,causa incompatibilidad,pre supuesto,ministerio obra,senador nacio,agricultura pesca,posi ble,num 15,mu senador,da defendida,ciuda dano,valor sociedad,sena dor,ministerio asunto,senador aguirr,presi dent,sido retirada,senador arija,obra publica,pedimo separada,texto dictamen,part poder,cia senadora,deben tener,relati vo,pe nal,sido defendida,infraestructura ferroviaria,llegar acuerdo,finalment quiero,parti cular,22 septiembr,defensa senador,nue tro,defensa senador,mayo de2000,van conseguir,cumpli miento,ministerio justicia,senadora cid,entesa senador,sanidad consumo,cualquier cosa,mini tra,sentencia tribun,constancia diario,ex terior,pleno 22,veto presenta,hace referencia,espa ña,producto interior,turismo comercio,presupuesto generalesdel,enlo presupuesto,compromiso adquirido,compromi so,permiso presi,ejerc profesion,quiero agradec,40 13,senadora capella,dar cuenta,ministerio justicia,grand patrimonio,pasamo portavoc,presentada senador,puesto trabajo,senador alegr,presentada diferent,lucha incendio,buscar acuerdo,senadora iparragirr,lucha fraud,senador picornel
12,permiso conduccion,instituto nacion,permiso pre,ejerc responsabilidad,recor dar,junta extremadura,pest porcina,diputacion provincial,munici pio,desarro llo,alguna forma,derogatoria final,cuartel guardia,sido objeto,respecto opinion,senador baselga,mismo tiempo,pro yecto,propio proyecto,marzo 1988,tema suficient,sena dor,po der,senador renobal,senador olivera,concluido debat,amba inclus,entra mo,doy defendida,pasa mo,senador aleu,termino momento,defensa particular,forma inmediata,llegar consenso,coordinadora ong,breve creo,as pecto,trabajo realizado,im puesto,sentencia tribun,fruta hortaliza,breve posibl,tario entesa,senador marimon,puedan tener,senadora mora,aproximada ment,conseguir objetivo,ca rretera,sigu siendo,toda part,fuerza cuerpo,acuerdo alcanzado,go bierno,18 25,nue tra,creci miento,servicio sanitario,pleno delsenado,hace mese,seguir trabajando,agencia europea,buen grado,permiso presidencia,ejerc propia,16 000,senador barreiro,seguir trabajando,buena tard,originaria manifestar,salida crisi,18 febrero,trimestr 2015,ejercicio responsabilidad,senadora iparragirr,poder llegar,trabajador trabajadora,semana pasada,tener valor,juec fiscal,senadora azamar
13,permiso conducir,rioja alavesa,permiso presidencia,ejerc soberania,permiso investigacion,diciembr 1981,intervenido senador,tribun constitucion,31 mayo,isla balear,concej ayuntamiento,podemo aceptar,tie ne,nacio nal,caso damo,28 febrero,comision control,sena dor,someta directament,senador luna,instituto nacion,mu senador,pa sado,texto proyecto,senador peñalosa,entra mo,garantizar pago,gra cia,textual ment,prestacion servicio,gran part,designado senador,competencia comuni,presentar inform,puesta marcha,empr sa,cabe duda,10 ciento,senador nacionalistasvasco,pese ta,interior bruto,carlo iii,plan nacion,pre sidenta,catalana pro,pueden tener,trabajo asunto,toda seguridad,pasamo defensa,doy formulada,descuento 50,agricultura pesca,or den,aun acuerdo,dere cho,enfermedad rara,presu puesto,senador urrutia,mercado trabajo,cabe duda,pro blema,toda administracion,poner marcha,tomado decision,permiso quiero,ejerc recho,procedimiento urgencia,grand empresa,nombr industria,trata fundamentalment,cazali entesa,enfermedad profesional,anasagasti entesa,mujer hombr,alcanzar acuerdo,senadora lima,solo quieren,senadora castilla,cualquier caso,niño niña,hace referencia,ministerio agricultura
14,000 pyme,pro vincia,permiso intervendre,ejerc toda,permiso lactancia,integridad territori,toda toda,senador ollora,16 junio,enmien da,transport turismo,cualquier caso,asamblea gener,provecto lev,in convenient,sena dor,ceuta melilla,gru po,volver insistir,entra mo,desarrollo region,senador lara,deben tener,senador sala,creo dar,nombr gru,ofici cort,cualquier caso,veto totalidad,prestar consentimiento,familia numerosa,isabel vilallonga,consejo gener,autonom as,constitu cional,pri vada,re sultado,senador albistur,pala bra,re ferencia,paso important,sola peseta,cabrero palomar,12 diciembr,poner marcha,re puesta,in ternet,pone manifiesto,toda comunidad,senador mesa,resul tado,refe rencia,in version,respecto ala,sistema educativo,debat pleno,da igual,dejar claro,forma reiterada,infra tructura,agricultor ganadero,previsto enla,objetivo fundament,entidad bancaria,permiso residencia,ejerc responsabilidad,conoc perfectament,ayer mismo,senador manchado,presentar veto,digo toda,salir crisi,creo debe,sector financiero,alta velocidad,senadora ahedo,ninguna manera,senadora iparragirr,puesto marcha,senadora rivero,buena tard,mismo tiempo
15,permiso intervengo,octubr 1979,permiso quiero,ejercen actividad,permiso licencia,toda seri,senador pon,competencia exclusiva,alto cargo,den tro,articulo 14,senador aria,aparta do,pri mero,87 asentimiento,gra cia,meno recurso,cambio criterio,provincia guadalajara,mu senador,be neficiar,senador fuent,persona debido,concluido debat,senadora nombr,defend senador,momen to,pregun ta,febrero 1993,gra senador,presencia polici,hecho tribuna,desea uso,liber tad,co munidad,termino presi,ministerio trabajo,defensa senador,ca so,pue dan,sena dor,desea intervenir,defensa senador,defensa parlamenta,rabajo asunto,suspend tard,remitido congreso,consejo asesor,pala bra,procedimiento legislativo,agua territorial,aria cañet,gra cia,veto presentado,idea clara,ello pregunto,tipo empresa,funda mentalment,mayor part,activi dad,escaño popu,posi ble,subi da,hi toria,permiso senador,ejerc soberania,intervengo nombr,consideramo necesario,cerrar debat,trabajador trabajadora,defensa senador,doy formulada,nombr hacienda,termino inmediatament,turista extranjero,unido podemo,gran pacto,meno recurso,senda crecimiento,senador navarret,isla gran,senador iñarritu
16,permiso investigacion,pro blema,permiso residencia,ejercen competencia,permiso maternidad,central sindical,particular senador,toda seri,senador nalda,1983 nom,pa samo,abajo firmant,ciudad toledo,mismo argumento,vi gor,diciembr 1986,nacion identidad,27 octubr,alta velocidad,refe rencia,hecho consumado,beneficio fiscal,tiempo finalizado,senador transport,sena senador,texto dictamen,senador barrero,pro yecto,senador cambra,pregun ta,responsa ble,posi blement,aprueba asentimiento,puso marcha,precisa ment,llone peseta,hago uso,vaya concluyendo,siem pre,vaya concluyendo,quiero recordar,pro blema,in sisto,relacion industrial,desea intervenir,doy formulada,finalizado debat,agra dezco,senadora moral,escaño parlamenta,junio 2004,conla comunidad,totalment acuerdo,ofici cort,pri mero,intervengo brevement,menor edad,pleno 24,tarifa especi,hoja ruta,abril 2009,quiero manifestar,reforma labor,puso marcha,permiso trabajo,ejerc toda,ministerio fomento,doy formulada,senador bildarratz,termino inmediatament,senadora interpelant,derecho decidir,senador cotilla,clase media,saben perfectament,senadora castilla,claro objetivo,senador navarret,sentimo orgulloso,senadora muñoz,derecho libertad,senadora rivero
17,permiso lactancia,tener cuenta,permiso senador,ejercen derecho,permiso paternidad,puesto trabajo,defensa dicho,preci sament,22 junio,sena dor,van permitir,firman portavoc,correspondient comunidad,modo alguno,audiencia nacion,cualquier caso,capit provincia,dicho territorio,problema grave,cia senador,damo defendida,hacienda solchaga,provincia zaragoza,abr portavoc,presi dent,28 36,ocupa presidencia,cia senadora,senadora pleguezuelo,gra cia,precedido uso,po der,hace tiempo,natur ment,pre sident,senador utrera,honor presentar,perso na,compro miso,fa vor,apar tado,pasa mo,35 ciento,ur gencia,toda comunidad,vaya terminando,finalizar portavoc,internacio nal,senador lago,sigu siendo,protesta escaño,mismo tiempo,tal ycomo,pri mera,rumor escaño,cia bueno,toda instancia,alto nivel,aplauso escaño,plan nacion,buena part,presen tado,sacar adelant,senador senadora,permit actuar,ejercen actividad,mercado labor,cosa hace,desarrollo sosten,63 mayo,hecho esfuerzo,ciento mile,saura laporta,doy formulada,mariano rajoy,senadora rivero,modificar reglamento,lucha violencia,aplausos vario,aquella cosa,sistema educativo,senador navarret
18,permiso licencia,porta voce,permiso trabajo,ejerc profesion,permiso presidencia,asunto exterior,sociedad desarrollo,mayor part,seño re,naciona lista,agrupada presi,125 reglamento,articulo 20,acuerdo conmigo,poner ejemplo,tiempo minuto,control gasto,plane fondo,14 diciembr,gru po,principio general,gru po,dor granado,senador barbuzano,pien sa,contenida particular,minuto imprim,gra senador,millo ne,hacienda solchaga,ocupa presidencia,objetivo fundament,27 junio,quisiera preguntarl,profe sional,vaya concluyendo,alguna forma,cia senadora,senador franco,cia senadora,tanta vece,ministerio agricultura,senador arela,doy formulada,consejo nacion,senador luna,nombr senador,doy formulada,portavoz so,vaya terminando,ciclo formativo,consejo europeo,im portancia,tal manera,ingr so,qui siera,pri mer,hace ministerio,25 ciento,buena tard,enmien da,nivel europeo,derecho huma,responsabili dad,permiso conduccion,ejerc presidencia,debo decirl,campaña elector,podemo olvidar,herencia recibida,parado larga,herencia recibida,persona mayor,saura entesa,compañero senador,ir terminando,oficina asilo,pasamo portavoc,aplauso parec,pasamo portavoc,reducir emision,prometo aplauso
19,permiso maternidad,junio 1979,permit actuar,ñoria senador,permiso presi,octubr 1981,permiso maternidad,abril 1982,cierto modo,14 junio,cabe duda,pro pia,contencioso administrativa,trabajo seguridad,1987 respecto,senador dorrego,pue dan,creo important,pesca dore,so cial,enmien da,puesta marcha,separa da,obra publica,senador alierta,entramo debat,marca particular,cia senador,sido defendido,cia senador,com petencia,sido objeto,poder judici,vien haciendo,sentencia tribun,cia senador,creo recordar,cia senador,senador gibert,cia senador,quiero señalar,cia senador,hombr mujer,ermino enseguida,venia ñora,doy defendida,senador lavilla,subsidio agrario,quiero agradec,sincera ment,ma yor,so ciedad,van tener,dando paso,portavoz entesa,vuelta texto,mano obra,adecua da,territorio nacion,actual sistema,10 000,puesto marcha,toda aquella,interna cional,permiso circulacion,ñoria senador,duda alguna,vaya terminando,senadora rieradeval,grave consecuencia,senador bildarratz,clase media,siglo xxi,herencia recibida,ejercicio funcion,vaya terminando,duda alguna,vaya terminando,doy formulada,vaya terminando,poder judici,vaya terminando
